Key,Source,Context,Changes,English
gunAdvancedCrossbow,items,GunBow,New,[772AB8]Linda's Launcher
gunAdvancedCrossbowDesc,items,GunBow,New,"Type: [decea3]Advanced Crossbow[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Advanced Crossbow Schematic[-]\nAmmo: [decea3]Crossbow Bolt Steel AP, AdvCrossbowBolt Steel, AdvCrossbowBolt Steel AP, AdvCrossbowBolt Steel SH, AdvCrossbowBolt Steel BRN [-]\n\n If only we had Thermite or Napalm Bolts."
gunDeagle,items,GunPistol,New,[772AB8]Desert Eagle
gunDeagleDesc,items,GunPistol,New,"Type: [decea3]Advanced Handgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Desert Eagle Schematic.[-]\nAmmo: [decea3]50 Magnum Bullet Ball,50 Magnum Bullet SH,50 Magnum Bullet BRN[-]\n\n The Desert Eagle is a powerful semiautomatic handgun."
gunTacticalShotgun,items,GunBow,New,[772AB8]Tactical Shotgun
gunTacticalShotgunDesc,items,GunShotgun,New,"Type: [decea3]Advanced Shotgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Tactical Shotgun Schematic.[-]\nAmmo: [decea3]Shotgun Shell,Shotgun Slug, Shotgun Breaching Slug, Tactical ShotgunShell SH [-]\n\n The Tactical Shotgun is a powerful weapon designed to take down the toughest mobs."
gunShawnsShotgun,items,GunShotgun,New,[772AB8]Shawn's Shotgun
gunShawnsShotgunDesc,items,GunShotgun,New,"Type: [decea3]Advanced Pump Shotgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Shawn's Shotgun Schematic.[-]\nAmmo: [decea3]Shotgun Shell, Shotgun Slug, Shotgun Breaching Slug, Shawns Shotgun Shell SH  [-]\n\n Combined with advanced shotgun ammunition... this weapon is unstoppable."

gunAdvancedCrossbowSchematic,items,Item,New,[772AB8]Linda's Launcher Schematic
gunAdvancedCrossbowSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Linda's Launcher[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunDeagleSchematic,items,Item,New,[772AB8]Desert Eagle Schematic
gunDeagleSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Steel/Gold[-]\nUnlocks: [decea3]Desert Eagle[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunTacticalShotgunSchematic,items,Item,New,[772AB8]Tactical Shotgun Schematic
gunTacticalShotgunSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Tactical Shotgun[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunShawnsShotgunSchematic,items,Item,New,[772AB8]Shawn's Shotgun Schematic
gunShawnsShotgunSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Shawn's Shotgun[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."

ammoAdvCrossbowBoltSteel,items,Ammo,New,[772AB8]Advanced Crossbow Bolt Steel
ammoAdvCrossbowBoltSteelDesc,items,Ammo,New,"Type: [decea3]Advanced Crossbow Bolt[-] [FF684F](Master Craftsman required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight Bolt."
ammoAdvCrossbowBoltSteelAP,items,Ammo,New,[772AB8]Advanced Crossbow Bolt Steel AP
ammoAdvCrossbowBoltSteelAPDesc,items,Ammo,New,"Type: [decea3]Advanced Crossbow Bolt[-] [FF684F](Master Craftsman required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight Armor Piercing Bolt."

ammoAdvCrossbowBoltSteelSH,items,Item,New,[772AB8]Advanced Crossbow Bolt (Shock)
ammoAdvCrossbowBoltSteelSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Not stable enough to bundle.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Electrified Carbon Fiber bolts for Linda's Launcher."
ammoAdvCrossbowBoltSteelBRN,items,Item,New,[772AB8]Advanced Crossbow Bolt (Burn)
