Key,Source,Context,Changes,English
gunAdvancedCrossbow,items,GunBow,New,[772AB8]Linda's Launcher
gunAdvancedCrossbowDesc,items,GunBow,New,"Type: [decea3]Advanced Crossbow[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Advanced Crossbow Schematic[-]\n\n If only we had Thermite or Napalm Bolts."
gunDeagle,items,GunPistol,New,[772AB8]Desert Eagle
gunDeagleDesc,items,GunPistol,New,"Type: [decea3]Advanced Handgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Desert Eagle Schematic.[-]\n\n The Desert Eagle is a powerful semiautomatic handgun."
gunTacticalShotgun,items,GunBow,New,[772AB8]Tactical Shotgun
gunTacticalShotgunDesc,items,GunShotgun,New,"Type: [decea3]Advanced Shotgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Tactical Shotgun Schematic.[-]\n\n The Tactical Shotgun is a powerful weapon designed to take down the toughest mobs."
gunShawnsShotgun,items,GunShotgun,New,[772AB8]Shawn's Shotgun
gunShawnsShotgunDesc,items,GunShotgun,New,"Type: [decea3]Advanced Pump Shotgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Shawn's Shotgun Schematic.[-]\n\n Combined with advanced shotgun ammunition... this weapon is unstoppable."

gunAdvancedCrossbowSchematic,items,Item,New,[772AB8]Linda's Launcher Schematic
gunAdvancedCrossbowSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Linda's Launcher[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunDeagleSchematic,items,Item,New,[772AB8]Desert Eagle Schematic
gunDeagleSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Steel/Gold[-]\nUnlocks: [decea3]Desert Eagle[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunTacticalShotgunSchematic,items,Item,New,[772AB8]Tactical Shotgun Schematic
gunTacticalShotgunSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Tactical Shotgun[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunShawnsShotgunSchematic,items,Item,New,[772AB8]Shawn's Shotgun Schematic
gunShawnsShotgunSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Shawn's Shotgun[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."

ammoAdvCrossbowBoltSteel,items,Ammo,New,[772AB8]Advanced Crossbow Bolt Steel
ammoAdvCrossbowBoltSteelDesc,items,Ammo,New,"Type: [decea3]Advanced Crossbow Bolt[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight Bolt."
ammoAdvCrossbowBoltSteelAP,items,Ammo,New,[772AB8]Advanced Crossbow Bolt Steel AP
ammoAdvCrossbowBoltSteelAPDesc,items,Ammo,New,"Type: [decea3]Advanced Crossbow Bolt[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight Armor Piercing Bolt."

ammoAdvCrossbowBoltSteelSH,items,Item,New,[772AB8]Advanced Crossbow Bolt (Shock)
ammoAdvCrossbowBoltSteelSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Not stable enough to bundle.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n Electrified Carbon Fiber bolts for Linda's Launcher."
ammoAdvCrossbowBoltSteelBRN,items,Item,New,[772AB8]Advanced Crossbow Bolt (Burn)
ammoAdvCrossbowBoltSteelBRNDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Not stable enough to bundle.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n Advanced Carbon Fiber bolts for Linda's Launcher."

ammo50MagnumBulletBall,items,Item,New,[772AB8]50cal Magnum Bullet
ammo50MagnumBulletBallDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Workbench[-]\n\n Advanced 50cal Magnum Bullet."
ammo50MagnumBulletSH,items,Item,New,[772AB8]50cal Magnum Bullet (Shock)
ammo50MagnumBulletSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Workbench[-]\n\n Advanced 50cal Magnum Bullet."
ammo50MagnumBulletBRN,items,Item,New,[772AB8]50cal Magnum Bullet (Burn)
ammo50MagnumBulletBRNDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Workbench[-]\n\n Advanced 50cal Magnum Bullet."

ammoBundle50MagnumBulletBall,items,Item,New,[772AB8]50cal Magnum Bullet Bundle
ammoBundle50MagnumBulletBallDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Workbench[-]\n\n Advanced 50cal Magnum Bullet."
ammoBundle50MagnumBulletSH,items,Item,New,[772AB8]50cal Magnum Bullet Bundle (Shock)
ammoBundle50MagnumBulletSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Workbench[-]\n\n Advanced 50cal Magnum Bullet."
ammoBundle50MagnumBulletBRN,items,Item,New,[772AB8]50cal Magnum Bullet Bundle (Burn)
ammoBundle50MagnumBulletBRNDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Workbench[-]\n\n Advanced 50cal Magnum Bullet."

ammoTacticalShotgunShellSH,items,Item,New,[772AB8]Advanced Tactical Shotgun Shell (SHOCK)
ammoTacticalShotgunShellSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n Advanced Tactical Shotgun Shell (SHOCK)."

ammoBundleTacticalShotgunShellSH,items,Item,New,[772AB8]Advanced Tactical Shotgun Shell Bundle (SHOCK)
ammoBundleTacticalShotgunShellSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 50.)[-]\nMaterial: [decea3]Brass[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n Advanced Bundle Tactical Shotgun Shells (SHOCK)."

resourceCarbonFiber,items,Item,New,[772AB8]Carbon Fiber
resourceCarbonFiberDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight material."
resourceCarbonFiberSchematic,items,Item,New,[772AB8]Carbon Fiber Schematic
resourceCarbonFiberSchematicDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](This Schematic is required to build multiple items.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Rare Loot[-]\n\n A Strong lightweight material."
resourceCarbonFiberStock,items,Item,New,[772AB8]Carbon Fiber Stock
resourceCarbonFiberStockDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight material."
resourceCarbonFiberGrips,items,Item,New,[772AB8]Carbon Fiber Grips
