Key,Source,Context,Changes,English
gunAdvancedCrossbow,items,GunBow,New,[772AB8]Linda's Launcher
gunAdvancedCrossbowDesc,items,GunBow,New,"Type: [decea3]Advanced Crossbow[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Advanced Crossbow Schematic[-]\nAmmo: [decea3]Crossbow Bolt Steel AP, AdvCrossbowBolt Steel, AdvCrossbowBolt Steel AP, AdvCrossbowBolt Steel SH, AdvCrossbowBolt Steel BRN [-]\n\n If only we had Thermite or Napalm Bolts."
advancedPickAxe,items,GunBow,New,[772AB8]Donnie's Pick
advancedPickAxeDesc,items,Item,New,"Type: [decea3]Mining Tool[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Advanced Pick Axe Schematic[-]\n\n Donnie likes to Mine, so he needed a tool."
gunDeagle,items,GunPistol,New,[772AB8]Desert Eagle
gunDeagleDesc,items,GunPistol,New,"Type: [decea3]Advanced Handgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Desert Eagle Schematic.[-]\nAmmo: [decea3]50 AE,50 AE AP,50 AE SH,50 AE BRN[-]\n\n The Desert Eagle is a powerful semiautomatic handgun."
gunTacticalShotgun,items,GunBow,New,[772AB8]Tactical Shotgun
gunTacticalShotgunDesc,items,GunShotgun,New,"Type: [decea3]Advanced Shotgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Tactical Shotgun Schematic.[-]\nAmmo: [decea3]Shotgun Shell,Shotgun Slug, Shotgun Breaching Slug, Tactical ShotgunShell SH [-]\n\n The Tactical Shotgun is a powerful weapon designed to take down the toughest mobs."
gunShawnsShotgun,items,GunShotgun,New,[772AB8]Shawn's Shotgun
gunShawnsShotgunDesc,items,GunShotgun,New,"Type: [decea3]Advanced Pump Shotgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Shawn's Shotgun Schematic.[-]\nAmmo: [decea3]Shotgun Shell, Shotgun Slug, Shotgun Breaching Slug, Shawns Shotgun Shell SH  [-]\n\n Combined with advanced shotgun ammunition... this weapon is unstoppable."
ThompsonSMG,items,GunPistol,New,[772AB8]Thompson SMG
ThompsonSMGDesc,items,GunPistol,New,"Type: [decea3]Advanced SMG[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Thompson SMG Schematic.[-]\nAmmo: [decea3]45 ACP,45 ACP AP,45 ACP SH,45 ACP BRN[-]\n\nThe 'Chicago Typewriter'. Say hello to 'My' little friend."
gunTacticalAR,items,GunMG,New,[772AB8]Tactical AR
gunTacticalARDesc,items,GunMG,New,"Type: [decea3]Advanced Automatic Weapon[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Tactical AR Schematic.[-]\nAmmo: [decea3]7.62[-]\n[FF684F]This is an unlisted weapon in the Vanilla files from the 'Dev' tools. Because of this, the Attachments won't be modified for this model. The Scope, Silencer and Light may be in the wrong place![-]"

gunAdvancedCrossbowSchematic,items,Item,New,[772AB8]Linda's Launcher Schematic
gunAdvancedCrossbowSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Linda's Launcher[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunDeagleSchematic,items,Item,New,[772AB8]Desert Eagle Schematic
gunDeagleSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Steel/Gold[-]\nUnlocks: [decea3]Desert Eagle[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunTacticalShotgunSchematic,items,Item,New,[772AB8]Tactical Shotgun Schematic
gunTacticalShotgunSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Tactical Shotgun[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
gunShawnsShotgunSchematic,items,Item,New,[772AB8]Shawn's Shotgun Schematic
gunShawnsShotgunSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Shawn's Shotgun[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."
ThompsonSMGSchematic,items,Item,New,[772AB8]Thompson SMG Schematic
ThompsonSMGSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Steel[-]\nUnlocks: [decea3]Thompson SMG[-]\n\n Reading this schematic will teach you how to build this weapon.\nThe "Windy City" Typewriter. Say hello to 'My' little friend."
